text,label
"Chest pain with shortness of breath and sweating",Cardiology
"Crushing chest pain radiating to left arm",Cardiology
"Heart palpitations and irregular heartbeat",Cardiology
"High blood pressure and dizziness",Cardiology
"Sharp chest pain when breathing deeply",Cardiology
"Rapid heartbeat and chest tightness",Cardiology
"Pain in chest spreading to jaw and shoulder",Cardiology
"Fluttering sensation in chest with lightheadedness",Cardiology
"Chest discomfort with cold sweats",Cardiology
"Pressure in chest like an elephant sitting on it",Cardiology
"Angina pain with arm numbness",Cardiology
"Irregular pulse with fatigue",Cardiology
"Racing heart with anxiety and chest pain",Cardiology
"Severe headache with vision changes",Neurology
"Migraine with nausea and light sensitivity",Neurology
"Numbness and tingling in extremities",Neurology
"Seizures and loss of consciousness",Neurology
"Sudden severe headache like thunderclap",Neurology
"Chronic migraine with aura",Neurology
"Dizziness and balance problems",Neurology
"Memory loss and confusion",Neurology
"Tremors in hands and difficulty walking",Neurology
"Weakness on one side of body",Neurology
"Slurred speech and facial drooping",Neurology
"Persistent headache with nausea and vomiting",Neurology
"Electric shock sensations in body",Neurology
"Persistent cough with fever",Pulmonology
"Difficulty breathing and wheezing",Pulmonology
"Chronic cough with blood in sputum",Pulmonology
"Shortness of breath on exertion",Pulmonology
"Asthma attack with tight chest",Pulmonology
"Chronic bronchitis with mucus production",Pulmonology
"Night sweats with persistent cough",Pulmonology
"Wheezing and difficulty exhaling",Pulmonology
"Coughing up phlegm every morning",Pulmonology
"Chest congestion and breathing difficulty",Pulmonology
"Rapid breathing with anxiety",Pulmonology
"Severe abdominal pain with vomiting",Gastroenterology
"Chronic diarrhea and weight loss",Gastroenterology
"Blood in stool and stomach cramps",Gastroenterology
"Acid reflux and difficulty swallowing",Gastroenterology
"Burning sensation in upper abdomen",Gastroenterology
"Bloating with gas and constipation",Gastroenterology
"Nausea and loss of appetite",Gastroenterology
"Sharp pain in lower right abdomen",Gastroenterology
"Yellow eyes and dark urine",Gastroenterology
"Heartburn after eating fatty foods",Gastroenterology
"Chronic stomach pain and indigestion",Gastroenterology
"Vomiting blood or coffee ground material",Gastroenterology
"Ear pain with hearing loss",ENT
"Chronic sinus infection and nasal congestion",ENT
"Sore throat with difficulty swallowing",ENT
"Ringing in ears and vertigo",ENT
"Joint pain and stiffness in morning",Rheumatology
"Swollen joints with redness",Rheumatology
"Muscle weakness and fatigue",Rheumatology
"Back pain radiating down leg",Orthopedics
"Knee pain with swelling after injury",Orthopedics
"Shoulder pain limiting movement",Orthopedics
"Ankle sprain with bruising",Orthopedics
"Skin rash with itching",Dermatology
"Acne and facial breakouts",Dermatology
"Hair loss and scalp irritation",Dermatology
"Mole changes in size and color",Dermatology
"Frequent urination with burning",Urology
"Blood in urine and flank pain",Urology
"Erectile dysfunction",Urology
"Kidney stones with severe pain",Urology
"Irregular menstrual periods",Gynecology
"Pelvic pain and heavy bleeding",Gynecology
"Pregnancy symptoms and morning sickness",Gynecology
"Menopausal hot flashes",Gynecology
"Depression and loss of interest",Psychiatry
"Anxiety and panic attacks",Psychiatry
"Insomnia and difficulty sleeping",Psychiatry
"Mood swings and irritability",Psychiatry
"Blurred vision and eye pain",Ophthalmology
"Double vision and floaters",Ophthalmology
"Red itchy eyes with discharge",Ophthalmology
"Sudden vision loss",Ophthalmology
"Fever with general malaise",General Physician
"Common cold symptoms",General Physician
"Annual checkup needed",General Physician
"Fatigue and general weakness",General Physician
