text,label
Double vision and headache during the day,Ophthalmology
Loss of smell and taste during the day,ENT
Back hurt radiating down leg for the past 9 days,Orthopedics
Sharp thoracic extreme ache when inhaling deeply,Cardiology
Vaginal discharge with odor,Gynecology
Obsessive thoughts and compulsive behavior,Psychiatry
Erectile dysfunction for 14 weeks in the morning,Urology
Rheumatoid arthritis with joint deformity during the day,Rheumatology
Irregular pulse with tiredness ongoing for 11 days for 5 weeks,Cardiology
mild sharp Depression and loss of interest,Psychiatry
Psoriasis with scaly patches lasting 13 days,Dermatology
Currently having Angina pain with arm numbness,Cardiology
Frequent urination at night occasionally,Urology
Suffering from throbbing Migraine with nausea and light sensitivity,Neurology
Knee pain with swelling after injury,Orthopedics
Painful intercourse intermittently since 10 days ago,Gynecology
Heartburn after eating fatty foods constantly,Gastroenterology
Sore throat with trouble swallowing,ENT
Muscle weakness and weakness,Rheumatology
throbbing Persistent tussis with fever,Pulmonology
Migraine with sick feeling and light sensitivity for 13 days occasionally,Neurology
Joint discomfort and stiffness in morning,Rheumatology
Post traumatic stress with flashbacks ongoing for 9 days,Psychiatry
Night sweats with persistent hack for 6 weeks,Pulmonology
Hives and allergic skin reaction lasting 2 days periodically,Dermatology
unbearable long-term bronchitis with mucus production in the evening,Pulmonology
Fever with body aches,General Physician
Nausea and loss of appetite for 1 days,Gastroenterology
Mole changes in size and color for 7 weeks,Dermatology
struggle urinating with burning periodically,Urology
Blood in urine and flank tenderness for 7 weeks,Urology
Common cold symptoms,General Physician
Currently having Annual checkup needed at night,General Physician
Ear pain with hearing loss since 8 days ago,ENT
elevated temperature with general malaise lasting 8 days,General Physician
Feeling unwell with general symptoms intermittently,General Physician
I'm experiencing Fracture with serious bone pain for 4 days,Orthopedics
mild Ringing in ears and vertigo,ENT
I'm experiencing Arthritis with morning stiffness,Orthopedics
Heartburn after eating fatty foods since 3 days ago,Gastroenterology
Shoulder discomfort limiting movement for 7 days,Orthopedics
Ringing in ears and vertigo ongoing for 11 days,ENT
Menopausal hot flashes during the day,Gynecology
Painful joint inflammation in hands,Orthopedics
moderate Ringing in ears and vertigo since 11 days ago,ENT
Dealing with Muscle weakness and weariness since 10 days ago,Rheumatology
Red itchy eyes with discharge ongoing for 5 days for 8 days,Ophthalmology
worry attacks with panic frequently,Psychiatry
Having symptoms of Nausea and loss of appetite,Gastroenterology
Sharp pain in lower right abdomen,Gastroenterology
Night sweats with persistent coughing during the day,Pulmonology
Mood swings and irritability periodically,Psychiatry
thorax discomfort with cold sweats,Cardiology
Presenting with Incontinence and urinary leakage,Urology
Vomiting blood or coffee ground material constantly,Gastroenterology
Crushing breast dull pain radiating to left arm for the past 1 days,Cardiology
Chronic sinus infection and nasal congestion,ENT
I'm experiencing continuous sinus infection and nasal congestion ongoing for 9 days,ENT
I'm experiencing Irregular menstrual periods for 2 days,Gynecology
Presenting with Racing heart with anxiety and chest hurt intermittently,Cardiology
I'm experiencing Chronic sinus infection and nasal congestion,ENT
Having symptoms of Gout with severe toe dull pain,Rheumatology
Knee discomfort after physical activity frequently ongoing for 9 days,Orthopedics
Neck stiffness and pain,Orthopedics
Heartburn after eating fatty foods,Gastroenterology
Sharp breast hurt when breathing deeply lasting 14 days during the day,Cardiology
Currently having Depression with loss of interest,Psychiatry
Moles changing in size or color ongoing for 11 days,Dermatology
breast discomfort with cold sweats for the past 13 days,Cardiology
High blood pressure and spinning sensation in the evening,Cardiology
Fatigue and general weakness,General Physician
moderate Hip agony when walking,Orthopedics
Presenting with Chest pain with shortness of breath and sweating periodically,Cardiology
Chest congestion and breathing difficulty,Pulmonology
Nosebleeds and facial pressure intermittently frequently,ENT
Blood in urine frequently periodically,Urology
Autoimmune disease symptoms constantly since 5 days ago,Rheumatology
Back discomfort radiating down leg in the morning,Orthopedics
problem urinating with burning,Urology
extreme Night sweats with persistent cough occasionally,Pulmonology
Heavy bleeding during periods,Gynecology
Currently having Currently having Chronic stomach pain and indigestion,Gastroenterology
I'm experiencing Red itchy eyes with discharge,Ophthalmology
Nosebleeds and facial pressure,ENT
Dealing with Joint pain with swelling in multiple joints,Rheumatology
Hair loss and scalp irritation intermittently,Dermatology
Asthma attack with tight chest,Pulmonology
throbbing Obsessive thoughts and compulsive behavior,Psychiatry
moderate Ankle sprain with bruising,Orthopedics
Pelvic pain and heavy bleeding intermittently in the morning,Gynecology
Rapid heartbeat and thoracic tightness ongoing for 13 days,Cardiology
Routine checkup needed frequently,General Physician
Chronic belly sharp pain and indigestion intermittently,Gastroenterology
Currently having Feeling unwell with general symptoms at night,General Physician
Currently having Suicidal thoughts and hopelessness,Psychiatry
Pressure in thoracic like an elephant sitting on it lasting 9 days,Cardiology
Joint pain with puffiness in multiple joints periodically in the evening,Rheumatology
Angina pain with arm numbness,Cardiology
Currently having Sharp pain in lower right abdomen,Gastroenterology
I'm experiencing Irregular menstrual periods,Gynecology
Dealing with Ankle sprain with swelling,Orthopedics
severe tingling and tingling in extremities,Neurology
Pelvic agony and discomfort periodically,Gynecology
Mood swings and irritability constantly ongoing for 11 days,Psychiatry
Chronic diarrhea and weight loss for the past 1 days at night,Gastroenterology
Lupus symptoms with butterfly dermatitis ongoing for 1 days frequently,Rheumatology
Pelvic ache and heavy bleeding periodically,Gynecology
hard time seeing at night since 1 days ago,Ophthalmology
Kidney stones with extreme discomfort since 11 days ago lasting 13 days,Urology
Double vision and headache,Ophthalmology
Eye injury with foreign object,Ophthalmology
extreme Autoimmune disease symptoms for 12 weeks,Rheumatology
Dealing with Migraine with nausea and light sensitivity in the morning,Neurology
Severe headache with vision changes,Neurology
Dealing with Pressure in chest like an elephant sitting on it frequently,Cardiology
Suffering from Knee pain with swelling after injury,Orthopedics
severe Frequent urination with burning at night,Urology
unbearable Memory loss and confusion ongoing for 14 days,Neurology
Eating disorder with body image issues for 11 weeks,Psychiatry
Severe menstrual cramps since 11 days ago,Gynecology
Difficulty seeing at night lasting 13 days,Ophthalmology
Fracture with severe bone intense pain,Orthopedics
Hallucinations and delusions during the day,Psychiatry
Seizures and loss of consciousness,Neurology
Insomnia and trouble sleeping,Psychiatry
Severe abdominal discomfort with vomiting in the morning,Gastroenterology
Irregular menstrual periods frequently,Gynecology
Painful bladder with urgency constantly,Urology
Wrist sharp discomfort with loss of sensation in fingers for 1 weeks,Orthopedics
Memory loss and confusion,Neurology
slight Pregnancy symptoms and morning sickness,Gynecology
mild Kidney stone agony in side,Urology
Autoimmune disease symptoms for 13 days,Rheumatology
Slurred speech and facial drooping since 8 days ago,Neurology
Fracture with severe bone soreness,Orthopedics
I'm experiencing Arthritis with morning stiffness constantly,Orthopedics
Kidney stone pain in side,Urology
Blurred visual and eye pain ongoing for 4 days,Ophthalmology
persistent diarrhea and weight loss,Gastroenterology
mild Rheumatoid arthritis with joint deformity for 14 weeks,Rheumatology
Shoulder hurt limiting movement at night,Orthopedics
moderate Insomnia and trouble sleeping,Psychiatry
Severe menstrual cramps for the past 5 days,Gynecology
Currently having sharp Double sight and floaters,Ophthalmology
Blood in urine and flank soreness,Urology
ongoing bronchitis with mucus production for 7 weeks,Pulmonology
Electric shock sensations in body in the evening in the morning,Neurology
Menopausal hot flashes intermittently for the past 3 days,Gynecology
Painful joint bloating in hands,Orthopedics
Fatigue and general weakness periodically occasionally,General Physician
Eye injury with foreign object for the past 10 days intermittently,Ophthalmology
thorax severe discomfort with cold sweats for 6 weeks,Cardiology
swift severe headintense ache like thunderclap,Neurology
mild sharp menstrual cramps,Gynecology
mild intense High blood pressure and spinning sensation,Cardiology
Angina pain with arm loss of sensation ongoing for 2 days,Cardiology
Dry eyes with burning sensation,Ophthalmology
Pain in thoracic spreading to jaw and shoulder for 12 days,Cardiology
Sharp severe discomfort in lower right abdomen intermittently,Gastroenterology
